"Time","flask_graph"
2024-03-03 17:15:00,0.0000643
2024-03-03 17:15:15,0.0000631
2024-03-03 17:15:30,0.0000628
2024-03-03 17:15:45,0.0000613
2024-03-03 17:16:00,0.0000587
2024-03-03 17:16:15,0.0000570
2024-03-03 17:16:30,0.0000553
2024-03-03 17:16:45,0.0000572
2024-03-03 17:17:00,0.0000608
2024-03-03 17:17:15,0.0000645
2024-03-03 17:17:30,0.0000638
2024-03-03 17:17:45,0.0000589
2024-03-03 17:18:00,0.0000416
2024-03-03 17:18:15,0.0000189
2024-03-03 17:20:00,0.0000196
2024-03-03 17:20:15,0.0000319
2024-03-03 17:20:30,0.0000442
2024-03-03 17:20:45,0.0000512
2024-03-03 17:21:00,0.0000552
2024-03-03 17:21:15,0.0000554
2024-03-03 17:21:30,0.0000563
2024-03-03 17:21:45,0.0000582
2024-03-03 17:22:00,0.0000545
2024-03-03 17:22:15,0.0000545
2024-03-03 17:22:30,0.174
2024-03-03 17:22:45,0.519
2024-03-03 17:23:00,0.878
2024-03-03 17:23:15,1.15
2024-03-03 17:23:30,0.871
2024-03-03 17:23:45,0.511
2024-03-03 17:24:00,0.162
2024-03-03 17:24:15,0.0000601
2024-03-03 17:24:30,0.0000625
2024-03-03 17:24:45,0.0000626
2024-03-03 17:25:00,0.0000593
2024-03-03 17:25:15,0.0000584
2024-03-03 17:25:30,0.00741
2024-03-03 17:25:45,0.00749
2024-03-03 17:26:00,0.00752
2024-03-03 17:26:15,0.00352
2024-03-03 17:26:30,0.0000670
2024-03-03 17:26:45,0.0000636
2024-03-03 17:27:00,0.0000614
2024-03-03 17:27:15,0.0000587
2024-03-03 17:27:30,0.0000569
2024-03-03 17:27:45,0.0000553
2024-03-03 17:28:00,0.00732
2024-03-03 17:28:15,0.00740
2024-03-03 17:28:30,0.00737
2024-03-03 17:28:45,0.00723
2024-03-03 17:29:00,0.0000634
2024-03-03 17:29:15,0.0000627
2024-03-03 17:29:30,0.0000620
2024-03-03 17:29:45,0.0000617
2024-03-03 17:30:00,0.0000609
2024-03-03 17:30:15,0.0000593
2024-03-03 17:30:30,0.0000565
2024-03-03 17:30:45,0.0000553
2024-03-03 17:31:00,0.0000529
2024-03-03 17:31:15,0.0000540
2024-03-03 17:31:30,0.0000556
2024-03-03 17:31:45,0.0279
2024-03-03 17:32:00,0.0274
2024-03-03 17:32:15,0.0278
2024-03-03 17:32:30,0.0000545
2024-03-03 17:32:45,0.0000556
2024-03-03 17:33:00,0.0000566
2024-03-03 17:33:15,0.0000576
2024-03-03 17:33:30,0.0000589
2024-03-03 17:33:45,0.0000557
2024-03-03 17:34:00,0.0000565
2024-03-03 17:34:15,0.0000568
2024-03-03 17:34:30,0.0000572
2024-03-03 17:34:45,0.0000566
2024-03-03 17:35:00,0.0000550
2024-03-03 17:35:15,0.0000533
2024-03-03 17:35:30,0.0000540
2024-03-03 17:35:45,0.0000546
2024-03-03 17:36:00,0.0000539
2024-03-03 17:36:15,0.0000531
2024-03-03 17:36:30,0.0000513
2024-03-03 17:36:45,0.0000503
2024-03-03 17:37:00,0.0633
2024-03-03 17:37:15,0.433
2024-03-03 17:37:30,0.804
2024-03-03 17:37:45,1.16
2024-03-03 17:38:00,0.961
2024-03-03 17:38:15,0.607
2024-03-03 17:38:30,0.245
2024-03-03 17:38:45,0.0000595
2024-03-03 17:39:00,0.0000588
2024-03-03 17:39:15,0.0000583
2024-03-03 17:39:30,0.0000580
2024-03-03 17:39:45,0.0000585
2024-03-03 17:40:00,0.00706
2024-03-03 17:40:15,0.00706
2024-03-03 17:40:30,0.00710
2024-03-03 17:40:45,0.00454
2024-03-03 17:41:00,0.0000593
2024-03-03 17:41:15,0.0000579
2024-03-03 17:41:30,0.0000565
2024-03-03 17:41:45,0.0000567
2024-03-03 17:42:00,0.0000566
2024-03-03 17:42:15,0.0000555
2024-03-03 17:42:30,0.00736
2024-03-03 17:42:45,0.00720
2024-03-03 17:43:00,0.00721
2024-03-03 17:43:15,0.00740
2024-03-03 17:43:30,0.0000612
2024-03-03 17:43:45,0.0000611
2024-03-03 17:44:00,0.0000634
2024-03-03 17:44:15,0.0000641
2024-03-03 17:44:30,0.0000651
2024-03-03 17:44:45,0.0000634
2024-03-03 17:45:00,0.0000601
2024-03-03 17:45:15,0.0000572
2024-03-03 17:45:30,0.0000542
2024-03-03 17:45:45,0.0000553
2024-03-03 17:46:00,0.0000579
2024-03-03 17:46:15,0.0293
2024-03-03 17:46:30,0.0287
2024-03-03 17:46:45,0.0288
2024-03-03 17:47:00,0.00666
2024-03-03 17:47:15,0.0000584
2024-03-03 17:47:30,0.0000573
2024-03-03 17:47:45,0.0000575
2024-03-03 17:48:00,0.0000595
2024-03-03 17:48:15,0.0000585
2024-03-03 17:48:30,0.0000586
2024-03-03 17:48:45,0.0000575
2024-03-03 17:49:00,0.0000588
2024-03-03 17:49:15,0.0000586
2024-03-03 17:49:30,0.0000576
2024-03-03 17:49:45,0.0000552
2024-03-03 17:50:00,0.0000522
2024-03-03 17:50:15,0.0000548
2024-03-03 17:50:30,0.0000564
2024-03-03 17:50:45,0.0000577
2024-03-03 17:51:00,0.0000559
2024-03-03 17:51:15,0.0000541
2024-03-03 17:51:30,0.0282
2024-03-03 17:51:45,0.368
2024-03-03 17:52:00,0.757
2024-03-03 17:52:15,1.12
2024-03-03 17:52:30,1.02
2024-03-03 17:52:45,0.656
2024-03-03 17:53:00,0.299
2024-03-03 17:53:15,0.0000635
2024-03-03 17:53:30,0.0000611
2024-03-03 17:53:45,0.0000588
2024-03-03 17:54:00,0.0000565
2024-03-03 17:54:15,0.0000559
2024-03-03 17:54:30,0.00544
2024-03-03 17:54:45,0.00683
2024-03-03 17:55:00,0.00680
2024-03-03 17:55:15,0.00688
2024-03-03 17:55:30,0.0000619
2024-03-03 17:55:45,0.0000609
2024-03-03 17:56:00,0.0000603
2024-03-03 17:56:15,0.0000589
2024-03-03 17:56:30,0.0000564
2024-03-03 17:56:45,0.0000566
2024-03-03 17:57:00,0.00682
2024-03-03 17:57:15,0.00677
2024-03-03 17:57:30,0.00655
2024-03-03 17:57:45,0.00656
2024-03-03 17:58:00,0.0000623
2024-03-03 17:58:15,0.0000641
2024-03-03 17:58:30,0.0000609
2024-03-03 17:58:45,0.0000603
2024-03-03 17:59:00,0.0000619
2024-03-03 17:59:15,0.0000582
2024-03-03 17:59:30,0.0000565
2024-03-03 17:59:45,0.0000552
2024-03-03 18:00:00,0.0000521
2024-03-03 18:00:15,0.0000525
2024-03-03 18:00:30,0.0000553
2024-03-03 18:00:45,0.0278
2024-03-03 18:01:00,0.0272
2024-03-03 18:01:15,0.0281
2024-03-03 18:01:30,0.0138
2024-03-03 18:01:45,0.0000593
2024-03-03 18:02:00,0.0000591
2024-03-03 18:02:15,0.0000590
2024-03-03 18:02:30,0.0000601
2024-03-03 18:02:45,0.0000589
2024-03-03 18:03:00,0.0000577
2024-03-03 18:03:15,0.0000577
2024-03-03 18:03:30,0.0000599
2024-03-03 18:03:45,0.0000604
2024-03-03 18:04:00,0.0000601
2024-03-03 18:04:15,0.0000568
2024-03-03 18:04:30,0.0000530
2024-03-03 18:04:45,0.0000520
2024-03-03 18:05:00,0.0000521
2024-03-03 18:05:15,0.0000542
2024-03-03 18:05:30,0.0000549
2024-03-03 18:05:45,0.0000540
2024-03-03 18:06:00,0.0463
2024-03-03 18:06:15,0.393
2024-03-03 18:06:30,0.773
2024-03-03 18:06:45,1.14
2024-03-03 18:07:00,0.982
2024-03-03 18:07:15,0.635
2024-03-03 18:07:30,0.276
2024-03-03 18:07:45,0.0000541
2024-03-03 18:08:00,0.0000534
2024-03-03 18:08:15,0.0000527
2024-03-03 18:08:30,0.0000522
2024-03-03 18:08:45,0.0000552
2024-03-03 18:09:00,0.00669
2024-03-03 18:09:15,0.00673
2024-03-03 18:09:30,0.00698
2024-03-03 18:09:45,0.00680
2024-03-03 18:10:00,0.0000755
2024-03-03 18:10:15,0.0000705
2024-03-03 18:10:30,0.0000676
2024-03-03 18:10:45,0.0000692
2024-03-03 18:11:00,0.0000726
2024-03-03 18:11:15,0.0000725
2024-03-03 18:11:30,0.00761
2024-03-03 18:11:45,0.00755
2024-03-03 18:12:00,0.00762
2024-03-03 18:12:15,0.00774
2024-03-03 18:12:30,0.0000668
2024-03-03 18:12:45,0.0000680
2024-03-03 18:13:00,0.0000696
2024-03-03 18:13:15,0.0000695
2024-03-03 18:13:30,0.0000704
2024-03-03 18:13:45,0.0000685
2024-03-03 18:14:00,0.0000642
2024-03-03 18:14:15,0.0000626
2024-03-03 18:14:30,0.0000601
2024-03-03 18:14:45,0.0000624
2024-03-03 18:15:00,0.0000637
2024-03-03 18:15:15,0.0287
2024-03-03 18:15:30,0.0293
2024-03-03 18:15:45,0.0285
2024-03-03 18:16:00,0.0295
2024-03-03 18:16:15,0.0000671
2024-03-03 18:16:30,0.0000683
2024-03-03 18:16:45,0.0000671
2024-03-03 18:17:00,0.0000666
2024-03-03 18:17:15,0.0000696
2024-03-03 18:17:30,0.0000705
2024-03-03 18:17:45,0.0000697
2024-03-03 18:18:00,0.0000678
2024-03-03 18:18:15,0.0000659
2024-03-03 18:18:30,0.0000631
2024-03-03 18:18:45,0.0000590
2024-03-03 18:19:00,0.0000564
2024-03-03 18:19:15,0.0000566
2024-03-03 18:19:30,0.0000554
2024-03-03 18:19:45,0.0000574
2024-03-03 18:20:00,0.0000597
2024-03-03 18:20:15,0.0000576
2024-03-03 18:20:30,0.0000542
2024-03-03 18:20:45,0.147
2024-03-03 18:21:00,0.514
2024-03-03 18:21:15,0.865
2024-03-03 18:21:30,1.18
2024-03-03 18:21:45,0.912
2024-03-03 18:22:00,0.542
2024-03-03 18:22:15,0.191
2024-03-03 18:22:30,0.0000679
2024-03-03 18:22:45,0.0000677
2024-03-03 18:23:00,0.0000701
2024-03-03 18:23:15,0.0000718
2024-03-03 18:23:30,0.0000722
2024-03-03 18:23:45,0.00698
2024-03-03 18:24:00,0.00681
2024-03-03 18:24:15,0.00694
2024-03-03 18:24:30,0.00329
2024-03-03 18:24:45,0.0000693
2024-03-03 18:25:00,0.0000715
2024-03-03 18:25:15,0.0000727
2024-03-03 18:25:30,0.0000706
2024-03-03 18:25:45,0.0000696
2024-03-03 18:26:00,0.0000667
2024-03-03 18:26:15,0.00762
2024-03-03 18:26:30,0.00777
2024-03-03 18:26:45,0.00763
2024-03-03 18:27:00,0.00753
2024-03-03 18:27:15,0.0000669
2024-03-03 18:27:30,0.0000653
2024-03-03 18:27:45,0.0000653
2024-03-03 18:28:00,0.0000647
2024-03-03 18:28:15,0.0000618
2024-03-03 18:28:30,0.0000610
2024-03-03 18:28:45,0.0000587
2024-03-03 18:29:00,0.0000566
2024-03-03 18:29:15,0.0000562
2024-03-03 18:29:30,0.0000560
2024-03-03 18:29:45,0.0000573
2024-03-03 18:30:00,0.0289
2024-03-03 18:30:15,0.0290
2024-03-03 18:30:30,0.0293
2024-03-03 18:30:45,0.00753
2024-03-03 18:31:00,0.0000679
2024-03-03 18:31:15,0.0000642
2024-03-03 18:31:30,0.0000613
2024-03-03 18:31:45,0.0000648
2024-03-03 18:32:00,0.0000640
2024-03-03 18:32:15,0.0000653
2024-03-03 18:32:30,0.0000667
2024-03-03 18:32:45,0.0000629
2024-03-03 18:33:00,0.0000608